,Unnamed: 0,Unnamed: 0.1,title,paper_file,video_file,subtitle_file,video_url,data_imported
76,76.0,76.0,The Future of Tangible User Interfaces,,./video/76.mp4,./__subtitles/76.srt,https://www.youtube.com/watch?v=ZI7NMICieII,N
77,77.0,77.0,Careers in HCI and UX: The Digital Transformation from Craft to Strategy,,./video/77.mp4,./__subtitles/77.srt,https://www.youtube.com/watch?v=rWlP09H5N4g,N
78,78.0,78.0,Steering Performance with Error-accepting Delays,3290605.3300800.pdf,./video/78.mp4,./__subtitles/78.srt,https://www.youtube.com/watch?v=N2C5NLnMhJs,N
79,79.0,79.0,Text Entry Throughput: Towards Unifying Speed and Accuracy in a Single Performance Metric,,./video/79.mp4,./__subtitles/79.srt,https://www.youtube.com/watch?v=zFxdOLkI1dw,N
80,80.0,80.0,Understanding and Modeling User-Perceived Brand Personality from Mobile Application UIs,,./video/80.mp4,./__subtitles/80.srt,https://www.youtube.com/watch?v=01fuEs2UA4c,N
81,81.0,81.0,An Analytic Model for Time Efficient Personal Hierarchies,,./video/81.mp4,./__subtitles/81.srt,https://www.youtube.com/watch?v=oYTnveuVd0Q,N
82,82.0,82.0,Is Now A Good Time? An Empirical Study of Vehicle-Driver Communication Timing,,./video/82.mp4,./__subtitles/82.srt,https://www.youtube.com/watch?v=AHhaJ4DMoV8,N
83,83.0,83.0,"How to Work in the Car of the Future? A Neuroergonomical Study Assessing Concentration, ...",,./video/83.mp4,./__subtitles/83.srt,https://www.youtube.com/watch?v=6FByK43a-AI,N
84,84.0,84.0,An Exploration of Speech-Based Productivity Support in the Car,,./video/84.mp4,./__subtitles/84.srt,https://www.youtube.com/watch?v=cKfW86z8qCA,N
85,85.0,85.0,Around the (Virtual) World: Infinite Walking in Virtual Reality Using Electrical Muscle Stimulation,,./video/85.mp4,./__subtitles/85.srt,https://www.youtube.com/watch?v=EslqHPBSs3c,N
86,86.0,86.0,Personalising the TV Experience using Augmented Reality: An Exploratory Study on Delivering ...,,./video/86.mp4,./__subtitles/86.srt,https://www.youtube.com/watch?v=9WiXi0qEPIo,N
87,87.0,87.0,"VirtualBricks: Exploring a Scalable, Modular Toolkit for Enabling Physical Manipulation in VR",,./video/87.mp4,./__subtitles/87.srt,https://www.youtube.com/watch?v=9Tt7H0_EHh4,N
88,88.0,88.0,A Review & Analysis of Mindfulness Research in HCI: Framing Current Lines of Research and Future ...,,./video/88.mp4,./__subtitles/88.srt,https://www.youtube.com/watch?v=daeguU9f2t0,N
89,89.0,89.0,"Threats, Abuses, Flirting, and Blackmail: Gender Inequity in Social Media Voice Forums",,./video/89.mp4,./__subtitles/89.srt,https://www.youtube.com/watch?v=IA7fo7poqyk,N
90,90.0,90.0,AutoFritz: Autocomplete for Prototyping Virtual Breadboard Circuits,,./video/90.mp4,./__subtitles/90.srt,https://www.youtube.com/watch?v=SNFGHlzmA8k,N
91,91.0,91.0,Resilient Chatbots: Repair Strategy Preferences for Conversational Breakdowns,,./video/91.mp4,./__subtitles/91.srt,https://www.youtube.com/watch?v=yFDwi83p-UI,N
92,92.0,92.0,Implementing Multi-Touch Gestures with Touch Groups and Cross Events,,./video/92.mp4,./__subtitles/92.srt,https://www.youtube.com/watch?v=didYdY83zoc,N
93,93.0,93.0,"Rigor, Relevance and Impact: The Tensions and Trade-Offs Between Research in the Lab and in the Wild",,./video/93.mp4,./__subtitles/93.srt,https://www.youtube.com/watch?v=ffWRIRQwMoU,N
94,94.0,94.0,Beyond Schematic Capture: Meaningful Abstractions for Better Electronics Design Tools,,./video/94.mp4,./__subtitles/94.srt,https://www.youtube.com/watch?v=cm7mVGWaAyU,N
95,95.0,95.0,Using Time and Space Efficiently in Driverless Cars: Findings of a Co-Design Study,,./video/95.mp4,./__subtitles/95.srt,https://www.youtube.com/watch?v=sNCwrR-lefk,N
96,96.0,96.0,i'sFree: Eyes-Free Gesture Typing via a Touch-Enabled Remote Control,,./video/96.mp4,./__subtitles/96.srt,https://www.youtube.com/watch?v=hddqVTPiP38,N
97,97.0,97.0,A Rough Sketch of the Freehand Drawing Process: Blending the Line between Action and Artifact,,./video/97.mp4,./__subtitles/97.srt,https://www.youtube.com/watch?v=qyZLBfIgrtc,N
98,98.0,98.0,Mapping the Landscape of Creativity Support Tools in HCI,,./video/98.mp4,./__subtitles/98.srt,https://www.youtube.com/watch?v=l2WyF9mhFaM,N
99,99.0,99.0,23 Ways to Nudge: A Review of Technology-Mediated Nudging in Human-Computer Interaction,,./video/99.mp4,./__subtitles/99.srt,https://www.youtube.com/watch?v=-U3Bo7KR108,N
100,100.0,100.0,What Makes a Good Conversation? Challenges in Designing Truly Conversational Agents,,./video/100.mp4,./__subtitles/100.srt,https://www.youtube.com/watch?v=QrESSP5Jrps,N
101,101.0,101.0,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound,,./video/101.mp4,./__subtitles/101.srt,https://www.youtube.com/watch?v=r5KA1Jo_vYU,N
102,102.0,102.0,From Gender Biases to Gender-Inclusive Design: An Empirical Investigation,,./video/102.mp4,./__subtitles/102.srt,https://www.youtube.com/watch?v=WUiUwsVJ39c,N
103,103.0,103.0,"Instrumenting and Analyzing Fabrication Activities, Users, and Expertise",,./video/103.mp4,./__subtitles/103.srt,https://www.youtube.com/watch?v=aViHKozRyC4,N
104,104.0,104.0,Together in Bed? Couples' Mobile Technology Use in Bed,,./video/104.mp4,./__subtitles/104.srt,https://www.youtube.com/watch?v=2N5gGoo1uoA,N
105,105.0,105.0,FTVR in VR: Evaluation of 3D Perception With a Simulated Volumetric Fish-Tank Virtual Reality ...,,./video/105.mp4,./__subtitles/105.srt,https://www.youtube.com/watch?v=071I_uohryQ,N
106,106.0,106.0,VIPBoard: Improving Screen-Reader Keyboard for Visually Impaired People with Character-Level ...,,./video/106.mp4,./__subtitles/106.srt,https://www.youtube.com/watch?v=NXiygBuGhsc,N
107,107.0,107.0,Pinpoint: A PCB Debugging Pipeline Using Interruptible Routing and Instrumentation,,./video/107.mp4,./__subtitles/107.srt,https://www.youtube.com/watch?v=iCCLaw3hXxw,N
108,108.0,108.0,Direct Finger Manipulation of 3D Object Image with Ultrasound Haptic Feedback,,./video/108.mp4,./__subtitles/108.srt,https://www.youtube.com/watch?v=DrUfwi_0huU,N
109,109.0,109.0,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,,./video/109.mp4,./__subtitles/109.srt,https://www.youtube.com/watch?v=sJf_F7faczU,N
110,110.0,110.0,Will You Accept an Imperfect AI? Exploring Designs for Adjusting End-user Expectations of ...,,./video/110.mp4,./__subtitles/110.srt,https://www.youtube.com/watch?v=y-4ZvxPFaCs,N
111,111.0,111.0,Sampling Strategy for Ultrasonic Mid-Air Haptics,,./video/111.mp4,./__subtitles/111.srt,https://www.youtube.com/watch?v=zHeGCzLgqFI,N
112,112.0,112.0,Exploring Virtual Agents for Augmented Reality,,./video/112.mp4,./__subtitles/112.srt,https://www.youtube.com/watch?v=UO7m89mFM2A,N
113,113.0,113.0,VelociWatch: Designing and Evaluating a Virtual Keyboard for the Input of Challenging Text,,./video/113.mp4,./__subtitles/113.srt,https://www.youtube.com/watch?v=O5TBQbxFMfA,N
114,114.0,114.0,HotStrokes: Word-Gesture Shortcuts on a Trackpad,,./video/114.mp4,./__subtitles/114.srt,https://www.youtube.com/watch?v=iSQYejYs1fg,N
115,115.0,115.0,Designing Theory-Driven User-Centric Explainable AI,,./video/115.mp4,./__subtitles/115.srt,https://www.youtube.com/watch?v=RS7jP-6AHck,N
116,116.0,116.0,Egocentric Smaller-person Experience through a Change in Visual Perspective,,./video/116.mp4,./__subtitles/116.srt,https://www.youtube.com/watch?v=qiGOvoS83Qs,N
117,117.0,117.0,"Protection, Productivity and Pleasure in the Smart Home: Emerging Expectations and Gendered ...",,./video/117.mp4,./__subtitles/117.srt,https://www.youtube.com/watch?v=-xpsXmlqKpU,N
118,118.0,118.0,Metaphoria: An Algorithmic Companion for Metaphor Creation,,./video/118.mp4,./__subtitles/118.srt,https://www.youtube.com/watch?v=kyFipX3y5Sk,N
119,119.0,119.0,A Design Space for Gaze Interaction on Head-mounted Displays,,./video/119.mp4,./__subtitles/119.srt,https://www.youtube.com/watch?v=91VMIz6MAZ8,N
120,120.0,120.0,Augmented Reality Views for Occluded Interaction,,./video/120.mp4,./__subtitles/120.srt,https://www.youtube.com/watch?v=nxf6xW_z_s4,N
121,121.0,121.0,Understanding the Social Acceptability of Mobile Devices using the Stereotype Content Model,,./video/121.mp4,./__subtitles/121.srt,https://www.youtube.com/watch?v=59h-efcue9I,N
122,122.0,122.0,Empowering Expression for Users with Aphasia through Constrained Creativity,,./video/122.mp4,./__subtitles/122.srt,https://www.youtube.com/watch?v=xHkhdD-Ek58,N
123,123.0,123.0,May AI? Design Ideation with Cooperative Contextual Bandits,,./video/123.mp4,./__subtitles/123.srt,https://www.youtube.com/watch?v=77-UFZZD3GQ,N
124,124.0,124.0,Caring for Vincent: A Chatbot for Self-Compassion,,./video/124.mp4,./__subtitles/124.srt,https://www.youtube.com/watch?v=AQZo1JpxkcA,N
125,125.0,125.0,The Role of Physical Props in VR Climbing Environments,,./video/125.mp4,./__subtitles/125.srt,https://www.youtube.com/watch?v=5iVaj1CPDXo,N
126,126.0,126.0,"""Like Popcorn"": Crossmodal Correspondences Between Scents, 3D Shapes and Emotions in Children",,./video/126.mp4,./__subtitles/126.srt,https://www.youtube.com/watch?v=4auFYl17k0A,N
127,127.0,127.0,Power Struggles and Disciplined Designers – A Nexus Analytic Inquiry on Cross-Disciplinary ...,,./video/127.mp4,./__subtitles/127.srt,https://www.youtube.com/watch?v=bSPU84SGG2c,N
128,128.0,128.0,Hackathons as Participatory Design: Iterating Feminist Utopias,,./video/128.mp4,./__subtitles/128.srt,https://www.youtube.com/watch?v=22EeXYm9BZI,N
129,129.0,129.0,Blockchain Assemblages: Whiteboxing Technology and Transforming Infrastructural Imaginaries,,./video/129.mp4,./__subtitles/129.srt,https://www.youtube.com/watch?v=QNEFdcc9_9g,N
130,130.0,130.0,Gamified Ads: Bridging the Gap Between User Enjoyment and the Effectiveness of Online Ads,,./video/130.mp4,./__subtitles/130.srt,https://www.youtube.com/watch?v=_ChjZ7FDUg0,N
131,131.0,131.0,Hands Holding Clues for Object Recognition in Teachable Machines,,./video/131.mp4,./__subtitles/131.srt,https://www.youtube.com/watch?v=4NBuqmwUryk,N
132,132.0,132.0,HistoryTracker: Minimizing Human Interactions in Baseball Game Annotation,,./video/132.mp4,./__subtitles/132.srt,https://www.youtube.com/watch?v=pmLnEUfGCgI,N
133,133.0,133.0,Ten-Minute Silence: A New Notification UX of Mobile Instant Messenger,,./video/133.mp4,./__subtitles/133.srt,https://www.youtube.com/watch?v=Jfp_cOSH_6k,N
134,134.0,134.0,Managerial Visions: Stories of Upgrading and Maintaining the Public Restroom with IoT,,./video/134.mp4,./__subtitles/134.srt,https://www.youtube.com/watch?v=63RiUC3mhpE,N
135,135.0,135.0,Engaging Gentrification as a Social Justice Issue in HCI,,./video/135.mp4,./__subtitles/135.srt,https://www.youtube.com/watch?v=LzqGN1Q9V-E,N
